l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,CC1,CEA1914,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1914,temperature,Night,15.9,15.91,15.95,15.96,16,15.99,16.02,17.14
2025-07-22,CC1,CEA1914,temperature,Day,17.63,19,19.02,19.05,19.03,19.07,19.1,19.13
2025-07-22,CC1,CEA1914,temperature target,Night,16,16,16,16,16.74,17.49,17.49,17.49
2025-07-22,CC1,CEA1914,temperature target,Day,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51
2025-07-22,CC1,CEA1914,vapor pressure deficit,Night,0.26,0.26,0.27,0.28,0.28,0.29,0.3,0.35
2025-07-22,CC1,CEA1914,vapor pressure deficit,Day,0.27,0.3,0.34,0.36,0.35,0.36,0.36,0.37
2025-07-22,CC1,CEA1914,vent required,Night,48.2,48.5,48.95,49.6,50.47,51.15,55.42,57.55
2025-07-22,CC1,CEA1914,vent required,Day,33.35,37.6,43.55,45.2,44.31,45.7,46.53,46.6
2025-07-22,CC1,CEA1915,CO2 sensor,Day,398,400,410,427,431.75,457,461,470
2025-07-22,CC1,CEA1915,CO2 sensor,Night,407,420,432,447,443.8,451,472,474
2025-07-22,CC1,CEA1915,heating required,Night,0,0,0,0,0,0,0,0
